species,n_records,n_presence_patches,auc_mean,auc_std,accuracy_mean,precision_mean,recall_mean,f1_mean,mcc_mean,kappa_mean,tss_mean
Visnaga daucoides,23,21,0.8177564102564103,0.17132057566144943,0.7735294117647058,0.4,0.1,0.16,0.18027756377319948,0.13506493506493505,0.1
Primula elatior,4634,3075,0.817750809703219,0.0026416575080521996,0.8011382113821138,0.6972810833642112,0.36162601626016266,0.47584639286976155,0.39854689312965463,0.36815324220921275,0.3092682926829269
Galium verum,4325,2751,0.8176181476048999,0.016388863586554107,0.7925313287348726,0.6830687074441346,0.3166157399769015,0.4325290969375045,0.36213563237871166,0.32598787229694265,0.26778538922529094
Stellaria graminea,1566,1218,0.817520152784524,0.01336410351032072,0.7955659453482862,0.6957599657599658,0.32595965728934767,0.44363217606527494,0.37456092244816597,0.337865423036134,0.27806654783148355
Hesperis matronalis,308,248,0.8174855943465722,0.02065367395494072,0.7802598852850109,0.6654768887026952,0.2700408163265306,0.378037092450238,0.3166730282013142,0.27281938254432875,0.2203401089077024
Mnium stellare,27,23,0.8172527472527472,0.10646622071172891,0.7725146198830409,0.4,0.1,0.16,0.18149704259460603,0.13658536585365852,0.1
Odontites vulgaris,111,87,0.8172235028505839,0.0515356642751154,0.7761076604554866,0.7266666666666667,0.22026143790849675,0.33327686805947676,0.30423123083892023,0.23805667792452256,0.1818724683874518
Aneura pinguis,87,64,0.817161493477283,0.058421733435760265,0.7852941176470588,0.6533333333333333,0.18846153846153849,0.2897058823529412,0.28917353766028436,0.22541960829925847,0.17294197031039138
Rhinanthus alectorolophus,5242,3428,0.8170833508618758,0.008667219700240697,0.7922245950370853,0.6782721750157115,0.3217599114724096,0.4361657487710457,0.3626436852813958,0.3281908536692041,0.2708064905825564
Cynanchica pyrenaica,571,350,0.8170748299319728,0.027465206071348315,0.8042857142857143,0.7472184109375759,0.33428571428571435,0.45756100874731087,0.4046808721146397,0.35985737235273374,0.29523809523809524
Pilosella officinarum,1997,1478,0.8169830751902397,0.015219411293562884,0.7963470084516551,0.6934284269167358,0.33217132386623915,0.4488348847555742,0.37762606277310307,0.34256638394798794,0.2832334426067117
Anacamptis morio,908,510,0.816724336793541,0.010353663236714388,0.788235294117647,0.6978306230693011,0.27254901960784317,0.3915113723986112,0.3395729746430881,0.2918563896069168,0.2326797385620915
Fagus sylvatica,22443,10045,0.816559933592347,0.011257704270827742,0.7911398705823793,0.6690840015646287,0.3255350920856147,0.4378758750740265,0.3601317979732287,0.3279614713264097,0.2718765555002488
Knautia nevadensis,25,23,0.8162637362637362,0.10843520394639718,0.7608187134502924,0.3,0.12000000000000002,0.15555555555555553,0.13443026976101463,0.10880798590722254,0.09142857142857141
Achillea millefolium,3388,2138,0.8162003952178374,0.010238047742981093,0.7993464373968233,0.7130330019546307,0.3292740046838407,0.4501405266673628,0.3863505635594262,0.3474341807649758,0.285307725377953
Viola arvensis,704,583,0.8161909059114869,0.00853511156704851,0.7898879708852965,0.6781771998047982,0.30531977600943117,0.42082628361669244,0.35184066772792405,0.31427071242233584,0.2567303367953501
Schistidium elegantulum,27,25,0.8160000000000001,0.15351293828932538,0.8,0.6,0.2,0.2952380952380952,0.31041204909975295,0.2545454545454545,0.19999999999999996
Populus canescens,35,32,0.8159649122807018,0.13083858062057002,0.8119999999999999,0.7933333333333332,0.3380952380952381,0.4611111111111111,0.42699238627588426,0.37206283855330247,0.30651629072681696
Vicia sepium,5946,4138,0.8154661361873672,0.004266825745741917,0.7915056011226882,0.6649915093842752,0.3346941100187512,0.4450139409550922,0.3635068623441089,0.33358281744616314,0.27846728736686177
Epilobium parviflorum,605,449,0.8154462577155123,0.024049514902961228,0.7895264623955431,0.6720110316040548,0.3118851435705368,0.4251303642874076,0.352392658888449,0.31696511260696286,0.2606418556729739
Galeopsis tetrahit,4835,3604,0.8154098149184481,0.015935268752810722,0.7941874819293164,0.6808765379506598,0.3335171058714748,0.44751446460617916,0.3715413669295095,0.338815043929275,0.28126086464691047
Pimpinella saxifraga,627,423,0.8153663556238218,0.025751361350185208,0.8102895742786824,0.731982162843996,0.38081232492997197,0.5001269011916146,0.43011293919736293,0.397455206899335,0.3343120603879409
Philonotis calcarea,30,29,0.8150108932461875,0.05948001301770012,0.7840579710144928,0.7,0.17333333333333334,0.2738095238095238,0.29073691154990283,0.21510186960690314,0.16156862745098038
Lescuraea plicata,33,28,0.8149754901960785,0.15075582516004057,0.6960474308300395,0.1,0.07333333333333333,0.08333333333333333,-0.03438548777894955,-0.026095967025221455,-0.024460784313725514
Stellaria aquatica,282,211,0.8149371140346107,0.042062016226575266,0.7938151591997746,0.7238095238095238,0.2892580287929125,0.40817112837486347,0.3617431338935476,0.31190457662452,0.2513752641384943
Phalaris canariensis,31,30,0.8148148148148149,0.13468960404420874,0.8166666666666667,0.6,0.4666666666666666,0.5236363636363637,0.4270166021106889,0.42873303167420806,0.39999999999999997
Lamium galeobdolon,11463,7420,0.8147457274116482,0.012726374362925452,0.786320754716981,0.6413625040350495,0.3291105121293801,0.4349103139215728,0.34674578195394645,0.3196555261724126,0.2678346810422283
Scabiosa columbaria,802,547,0.8143192191753439,0.021271594221218708,0.7975340375954776,0.7149629629629629,0.3180483736447039,0.4397889755786523,0.3793737554088422,0.33776207599463914,0.2753988073314116
Allium lusitanicum,193,125,0.8142933333333333,0.047861607903528565,0.784,0.7447619047619047,0.22400000000000003,0.3315567765567765,0.3157231051105397,0.2489337140019861,0.19466666666666663
Dactylis glomerata,4856,2896,0.814245927592616,0.00741955180405641,0.7887607404309814,0.6731640163836772,0.3018063248168662,0.4165525083291528,0.34708716847422233,0.3097796460485774,0.2528883392949585
Filipendula ulmaria,11656,6159,0.8142071501619406,0.00900607315890541,0.7821073962317366,0.6351545289894005,0.29907160264593247,0.40619749284060347,0.3250458362600817,0.2937290010174328,0.2421899648881106
Centaurea jacea,2293,1492,0.8141858807845033,0.01863068114306826,0.7974218676506309,0.7077010402481102,0.32374357477946625,0.4439146039737958,0.37963262662745095,0.34051381270593206,0.2790608134067608
